Date,Time
2012-12-01,0.00
2012-12-02,0.00
2012-12-03,7.75
2012-12-04,9.75
2012-12-05,9.75
2012-12-06,7.75
2012-12-07,7.75
2012-12-08,0.00
2012-12-09,0.00
2012-12-10,9.75
2012-12-11,11.75
2012-12-12,8.75
2012-12-13,8.75
2012-12-14,8.75
2012-12-15,0.00
2012-12-16,0.00
2012-12-17,7.75
2012-12-18,10.25
2012-12-19,11.25
2012-12-20,7.25
2012-12-21,7.25
2012-12-22,0.00
2012-12-23,0.00
2012-12-24,0.00
2012-12-25,10.75
2012-12-26,10.25
2012-12-27,0.00
2012-12-28,0.00
2012-12-29,0.00
2012-12-30,0.00
2012-12-31,0.00
2013-01-01,0.00
2013-01-02,0.00
2013-01-03,0.00
2013-01-04,0.00
2013-01-05,0.00
2013-01-06,0.00
2013-01-07,10.25
2013-01-08,9.25
2013-01-09,11.25
2013-01-10,6.25
2013-01-11,6.75
2013-01-12,0.00
2013-01-13,0.00
2013-01-14,0.00
2013-01-15,8.75
2013-01-16,6.75
2013-01-17,8.75
2013-01-18,10.75
2013-01-19,0.00
2013-01-20,0.00
2013-01-21,9.25
2013-01-22,10.25
2013-01-23,7.75
2013-01-24,9.75
2013-01-25,11.75
2013-01-26,0.00
2013-01-27,4.50
2013-01-28,7.75
2013-01-29,7.75
2013-01-30,9.75
2013-01-31,10.75
2013-02-01,7.75
2013-02-02,0.00
2013-02-03,0.00
2013-02-04,8.75
2013-02-05,10.25
2013-02-06,9.25
2013-02-07,11.75
2013-02-08,9.25
2013-02-09,0.00
2013-02-10,0.00
2013-02-11,0.00
2013-02-12,14.75
2013-02-13,10.75
2013-02-14,10.25
2013-02-15,10.25
2013-02-16,0.00
2013-02-17,9.75
2013-02-18,9.25
2013-02-19,9.25
2013-02-20,11.25
2013-02-21,9.25
2013-02-22,7.75
2013-02-23,0.00
2013-02-24,4.75
2013-02-25,9.75
2013-02-26,9.75
2013-02-27,9.25
2013-02-28,4.75
2013-03-01,7.75
2013-03-02,0.00
2013-03-03,0.00
2013-03-04,7.75
2013-03-05,9.75
2013-03-06,10.25
2013-03-07,7.75
2013-03-08,10.75
2013-03-09,0.00
2013-03-10,0.00
2013-03-11,8.25
2013-03-12,10.75
2013-03-13,7.75
2013-03-14,9.75
2013-03-15,9.75
2013-03-16,0.00
2013-03-17,6.00
2013-03-18,7.75
2013-03-19,9.75
2013-03-20,0.00
2013-03-21,7.75
2013-03-22,10.75
2013-03-23,0.00
2013-03-24,0.00
2013-03-25,8.75
2013-03-26,11.25
2013-03-27,7.75
2013-03-28,8.75
2013-03-29,7.75
2013-03-30,0.00
2013-03-31,0.00
2013-04-01,7.75
2013-04-02,7.75
2013-04-03,7.75
2013-04-04,7.75
2013-04-05,9.75
2013-04-06,0.00
2013-04-07,0.00
2013-04-08,7.75
2013-04-09,9.25
2013-04-10,10.75
2013-04-11,7.75
2013-04-12,9.25
2013-04-13,0.00
2013-04-14,0.00
2013-04-15,7.75
2013-04-16,10.25
